taxonID	identifier	bibliographicCitation	title	creator	date	description	type
131835		Van Soest, R.W.M. 2001. Porifera, <B><I>in</I></B>: Costello, M.J. <i>et al.</i> (Ed.) (2001). <i>European register of marine species: a check-list of the marine species in Europe and a bibliography of guides to their identification. Collection Patrimoines Naturels,</i> 50: pp. 85-103	Porifera, <B><I>in</I></B>: Costello, M.J. <i>et al.</i> (Ed.) (2001). <i>European register of marine species: a check-list of the marine species in Europe and a bibliography of guides to their identification. Collection Patrimoines Naturels,</i> 50:	Van Soest, R.W.M.	2001		additional source
131836		Grimm, O.A. 1876. The Caspian Sea and its fauna. Trudi Aralo-KaspiiskoExpeditii. 2: 1-168.	The Caspian Sea and its fauna. Trudi Aralo-KaspiiskoExpeditii. 2: 1-168.	Grimm, O.A.	1876		original description
131836		Manconi, R.; Pronzato, R. 2002. Suborder Spongillina subord. nov.: Freshwater sponges. Pp. 921-1020. In Hooper, J. N. A. & Van Soest, R. W. M. (ed.) Systema Porifera. A guide to the classification of sponges. 1 (Kluwer Academic/ Plenum Publishers: New York, Boston, Dordrecht, London, Moscow).	Suborder Spongillina subord. nov.: Freshwater sponges.	Manconi, R.; Pronzato, R.	2002		basis of record
132891		Grimm, O.A. 1877. The Caspian Sea and its fauna. (Continued from1876). Trudi Aralo-Kaspiisko Expeditii. 2: 1-105, pl. IX.	The Caspian Sea and its fauna. (Continued from1876). Trudi Aralo-Kaspiisko Expeditii. 2: 1-105, pl. IX.	Grimm, O.A.	1877		original description
132891		Koltun, V.M. 1962a. On sponges (Porifera) of the Caspian Sea.Zoologichesky Zhurnal Moskva 41(10): 1469-1476.	On sponges (Porifera) of the Caspian Sea.Zoologichesky Zhurnal Moskva 41(10): 1469-1476.	Koltun, V.M.	1962		basis of record
132891		Van Soest, R.W.M. 2001. Porifera, <B><I>in</I></B>: Costello, M.J. <i>et al.</i> (Ed.) (2001). <i>European register of marine species: a check-list of the marine species in Europe and a bibliography of guides to their identification. Collection Patrimoines Naturels,</i> 50: pp. 85-103	Porifera, <B><I>in</I></B>: Costello, M.J. <i>et al.</i> (Ed.) (2001). <i>European register of marine species: a check-list of the marine species in Europe and a bibliography of guides to their identification. Collection Patrimoines Naturels,</i> 50:	Van Soest, R.W.M.	2001		additional source
132892		Van Soest, R.W.M. 2001. Porifera, <B><I>in</I></B>: Costello, M.J. <i>et al.</i> (Ed.) (2001). <i>European register of marine species: a check-list of the marine species in Europe and a bibliography of guides to their identification. Collection Patrimoines Naturels,</i> 50: pp. 85-103	Porifera, <B><I>in</I></B>: Costello, M.J. <i>et al.</i> (Ed.) (2001). <i>European register of marine species: a check-list of the marine species in Europe and a bibliography of guides to their identification. Collection Patrimoines Naturels,</i> 50:	Van Soest, R.W.M.	2001		additional source
132892		Koltun, V.M. 1962a. On sponges (Porifera) of the Caspian Sea.Zoologichesky Zhurnal Moskva 41(10): 1469-1476.	On sponges (Porifera) of the Caspian Sea.Zoologichesky Zhurnal Moskva 41(10): 1469-1476.	Koltun, V.M.	1962		basis of record
132892		Grimm, O.A. 1877. The Caspian Sea and its fauna. (Continued from1876). Trudi Aralo-Kaspiisko Expeditii. 2: 1-105, pl. IX.	The Caspian Sea and its fauna. (Continued from1876). Trudi Aralo-Kaspiisko Expeditii. 2: 1-105, pl. IX.	Grimm, O.A.	1877		original description
132892		Manconi, R.; Pronzato, R. 2002. Suborder Spongillina subord. nov.: Freshwater sponges. Pp. 921-1020. In Hooper, J. N. A. & Van Soest, R. W. M. (ed.) Systema Porifera. A guide to the classification of sponges. 1 (Kluwer Academic/ Plenum Publishers: New York, Boston, Dordrecht, London, Moscow).	Suborder Spongillina subord. nov.: Freshwater sponges.	Manconi, R.; Pronzato, R.	2002		additional source
132892		Pronzato, R.; Manconi, R. 2001. Atlas of European freshwater sponges. Annali Museo Civico Storia Naturale Ferrara 4: 3-64.	Atlas of European freshwater sponges. Annali Museo Civico Storia Naturale Ferrara 4: 3-64.	Pronzato, R.; Manconi, R.	2001		additional source
