taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	namePublishedInID	scientificName	acceptedNameUsage	parentNameUsage	namePublishedIn	namePublishedInYear	kingdom	phylum	class	order	family	genus	subgenus	specificEpithet	infraspecificEpithet	taxonRank	scientificNameAuthorship	nomenclaturalCode	taxonomicStatus	modified	bibliographicCitation	references	rights	rightsHolder	datasetName
131836	urn:lsid:marinespecies.org:taxname:131836	131835	167065		Metschnikowia	Metschnikowia	Metschnikowiidae	Grimm, O.A. 1876. The Caspian Sea and its fauna. Trudi Aralo-KaspiiskoExpeditii. 2: 1-168.	1876	Animalia	Porifera	Demospongiae	Spongillida	Metschnikowiidae	Metschnikowia				Genus	Grimm, 1876	ICZN	accepted	2010-06-18	van Soest, R. (2015). Metschnikowia Grimm, 1876. In: Van Soest, R.W.M; Boury-Esnault, N.; Hooper, J.N.A.; Rützler, K.; de Voogd, N.J.; Alvarez de Glasby, B.; Hajdu, E.; Pisera, A.B.; Manconi, R.; Schoenberg, C.; Janussen, D.; Tabachnick, K.R., Klautau, M.; Picton, B.; Kelly, M.; Vacelet, J.; Dohrmann, M.; Díaz, M.-C.; Cárdenas, P. (2015) World Porifera database. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=131836	http://www.marinespecies.org/porifera/aphia.php?p=taxdetails&id=131836			
132891	urn:lsid:marinespecies.org:taxname:132891	132892	131836		Metschnikowia intermédia	Metschnikowia tuberculata	Metschnikowia	Grimm, O.A. 1877. The Caspian Sea and its fauna. (Continued from1876). Trudi Aralo-Kaspiisko Expeditii. 2: 1-105, pl. IX.	1877	Animalia	Porifera	Demospongiae	Spongillida	Metschnikowiidae	Metschnikowia		intermedia		Species	Grimm, 1877	ICZN	unaccepted	2010-06-18	van Soest, R. (2015). Metschnikowia intermedia Grimm, 1877. In: Van Soest, R.W.M; Boury-Esnault, N.; Hooper, J.N.A.; Rützler, K.; de Voogd, N.J.; Alvarez de Glasby, B.; Hajdu, E.; Pisera, A.B.; Manconi, R.; Schoenberg, C.; Janussen, D.; Tabachnick, K.R., Klautau, M.; Picton, B.; Kelly, M.; Vacelet, J.; Dohrmann, M.; Díaz, M.-C.; Cárdenas, P. (2015) World Porifera database. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=132891	http://www.marinespecies.org/porifera/aphia.php?p=taxdetails&id=132891			
132892	urn:lsid:marinespecies.org:taxname:132892	132892	131836		Metschnikowia tuberculata	Metschnikowia tuberculata	Metschnikowia	Grimm, O.A. 1877. The Caspian Sea and its fauna. (Continued from1876). Trudi Aralo-Kaspiisko Expeditii. 2: 1-105, pl. IX.	1877	Animalia	Porifera	Demospongiae	Spongillida	Metschnikowiidae	Metschnikowia		tuberculata		Species	Grimm, 1877	ICZN	accepted	2008-10-07	van Soest, R. (2015). Metschnikowia tuberculata Grimm, 1877. In: Van Soest, R.W.M; Boury-Esnault, N.; Hooper, J.N.A.; Rützler, K.; de Voogd, N.J.; Alvarez de Glasby, B.; Hajdu, E.; Pisera, A.B.; Manconi, R.; Schoenberg, C.; Janussen, D.; Tabachnick, K.R., Klautau, M.; Picton, B.; Kelly, M.; Vacelet, J.; Dohrmann, M.; Díaz, M.-C.; Cárdenas, P. (2015) World Porifera database. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=132892	http://www.marinespecies.org/porifera/aphia.php?p=taxdetails&id=132892			
132896	urn:lsid:marinespecies.org:taxname:132896	132892	131838		Protoschmidtia grimmi	Metschnikowia tuberculata	Protoschmidtia	Czerniavsky, V. (1880 [1879]). Spongiae littorales Pontis Euxini et maris Caspii. Continuatio. <em>Bulletin de la Société Impériale des Naturalistes de Moscou.</em> 54 (3): 88-128, 228-320, pls I-IV [In Russian].	1880 [1879]	Animalia	Porifera	Demospongiae	Haplosclerida	Chalinidae	Protoschmidtia		grimmi		Species	Czerniavsky, 1880	ICZN	unaccepted	2008-10-07	van Soest, R. (2015). Protoschmidtia grimmi Czerniavsky, 1880. In: Van Soest, R.W.M; Boury-Esnault, N.; Hooper, J.N.A.; Rützler, K.; de Voogd, N.J.; Alvarez de Glasby, B.; Hajdu, E.; Pisera, A.B.; Manconi, R.; Schoenberg, C.; Janussen, D.; Tabachnick, K.R., Klautau, M.; Picton, B.; Kelly, M.; Vacelet, J.; Dohrmann, M.; Díaz, M.-C.; Cárdenas, P. (2015) World Porifera database. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=132896	http://www.marinespecies.org/porifera/aphia.php?p=taxdetails&id=132896			
																												
167010	urn:lsid:marinespecies.org:taxname:167010	845456	607950		Spongillina	Spongillida	Heteroscleromorpha	Manconi, R.; Pronzato, R. 2002. Suborder Spongillina subord. nov.: Freshwater sponges. Pp. 921-1020. In Hooper, J. N. A. & Van Soest, R. W. M. (ed.) Systema Porifera. A guide to the classification of sponges. 1 (Kluwer Academic/ Plenum Publishers: New York, Boston, Dordrecht, London, Moscow).	2002	Animalia	Porifera	Demospongiae							Suborder	Manconi & Pronzato, 2002	ICZN	unaccepted	2015-04-21	van Soest, R.; Manconi, R. (2015). Spongillina. In: Van Soest, R.W.M; Boury-Esnault, N.; Hooper, J.N.A.; Rützler, K.; de Voogd, N.J.; Alvarez de Glasby, B.; Hajdu, E.; Pisera, A.B.; Manconi, R.; Schoenberg, C.; Janussen, D.; Tabachnick, K.R., Klautau, M.; Picton, B.; Kelly, M.; Vacelet, J.; Dohrmann, M.; Díaz, M.-C.; Cárdenas, P. (2015) World Porifera database. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=167010	http://www.marinespecies.org/porifera/aphia.php?p=taxdetails&id=167010			
167011	urn:lsid:marinespecies.org:taxname:167011	167011	845456		Lubomirskiidae	Lubomirskiidae	Spongillida	Weltner, W. (1895). Spongillidenstudien III. Katalog und Verbreitung der bekannten Süsswasserschwämme. <em>Archiv für Naturgeschichte.</em> 61(1):114-144.	1895	Animalia	Porifera	Demospongiae	Spongillida	Lubomirskiidae					Family	Weltner, 1895	ICZN	accepted	2015-09-11	van Soest, R. (2015). Lubomirskiidae Weltner, 1895. In: Van Soest, R.W.M; Boury-Esnault, N.; Hooper, J.N.A.; Rützler, K.; de Voogd, N.J.; Alvarez de Glasby, B.; Hajdu, E.; Pisera, A.B.; Manconi, R.; Schoenberg, C.; Janussen, D.; Tabachnick, K.R., Klautau, M.; Picton, B.; Kelly, M.; Vacelet, J.; Dohrmann, M.; Díaz, M.-C.; Cárdenas, P. (2015) World Porifera database. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=167011	http://www.marinespecies.org/porifera/aphia.php?p=taxdetails&id=167011			
167012	urn:lsid:marinespecies.org:taxname:167012	167012	167009		Baikalospongia	Baikalospongia	Lubomirskiidae	Annandale, N. 1914a. VI. Further Notes on the Sponges of Lake Baikal. Records of the Indian Museum 10(2): 137-148, pl. IX.	1914	Animalia	Porifera	Demospongiae	Spongillida		Baikalospongia				Genus	Annandale, 1914	ICZN	accepted	2010-03-26	van Soest, R. (2015). Baikalospongia Annandale, 1914. In: Van Soest, R.W.M; Boury-Esnault, N.; Hooper, J.N.A.; Rützler, K.; de Voogd, N.J.; Alvarez de Glasby, B.; Hajdu, E.; Pisera, A.B.; Manconi, R.; Schoenberg, C.; Janussen, D.; Tabachnick, K.R., Klautau, M.; Picton, B.; Kelly, M.; Vacelet, J.; Dohrmann, M.; Díaz, M.-C.; Cárdenas, P. (2015) World Porifera database. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=167012	http://www.marinespecies.org/porifera/aphia.php?p=taxdetails&id=167012			
167013	urn:lsid:marinespecies.org:taxname:167013	167013	167012		Baikalospongia bacillifera	Baikalospongia bacillifera	Baikalospongia	Dybowski, W. 1880. Studien über die Spongien des russischen Reiches, mit besonderer Berücksichtigung der Spongien-Fauna des Baikal-Sees. Mémoires de l’Académie Impériale des sciences de St. Pétersbourg 7 (27): 1-71, pls I-IV.	1880	Animalia	Porifera	Demospongiae	Spongillida		Baikalospongia		bacillifera		Species	Dybowsky, 1880	ICZN	accepted	2010-03-26	van Soest, R. (2015). Baikalospongia bacillifera Dybowsky, 1880. In: Van Soest, R.W.M; Boury-Esnault, N.; Hooper, J.N.A.; Rützler, K.; de Voogd, N.J.; Alvarez de Glasby, B.; Hajdu, E.; Pisera, A.B.; Manconi, R.; Schoenberg, C.; Janussen, D.; Tabachnick, K.R., Klautau, M.; Picton, B.; Kelly, M.; Vacelet, J.; Dohrmann, M.; Díaz, M.-C.; Cárdenas, P. (2015) World Porifera database. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=167013	http://www.marinespecies.org/porifera/aphia.php?p=taxdetails&id=167013			
167014	urn:lsid:marinespecies.org:taxname:167014	167014	167012		Baikalospongia dzhegatajensis	Baikalospongia dzhegatajensis	Baikalospongia	Rezvoi, P. 1927. Notes on sponges from the lac Dzhegataj-kul in the Urjankaj region. C. R. Acad. Sci. de l’U.S.S.R. Leningrad: 296-300.	1927	Animalia	Porifera	Demospongiae	Spongillida	Lubomirskiidae	Baikalospongia		dzhegatajensis		Species	Rezvoi, 1927	ICZN	accepted	2010-03-26	van Soest, R. (2015). Baikalospongia dzhegatajensis Rezvoi, 1927. In: Van Soest, R.W.M; Boury-Esnault, N.; Hooper, J.N.A.; Rützler, K.; de Voogd, N.J.; Alvarez de Glasby, B.; Hajdu, E.; Pisera, A.B.; Manconi, R.; Schoenberg, C.; Janussen, D.; Tabachnick, K.R., Klautau, M.; Picton, B.; Kelly, M.; Vacelet, J.; Dohrmann, M.; Díaz, M.-C.; Cárdenas, P. (2015) World Porifera database. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=167014	http://www.marinespecies.org/porifera/aphia.php?p=taxdetails&id=167014			
