taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	namePublishedInID	scientificName	acceptedNameUsage	parentNameUsage	namePublishedIn	namePublishedInYear	kingdom	phylum	class	order	family	genus	subgenus	specificEpithet	infraspecificEpithet	taxonRank	scientificNameAuthorship	nomenclaturalCode	taxonomicStatus	modified	bibliographicCitation	references	rights	rightsHolder	datasetName
167108	urn:lsid:marinespecies.org:taxname:167108	167108	845456		Spongillidae	Spongillidae	Spongillida	Gray, J.E. (1867). Notes on the Arrangement of Sponges, with the Descriptions of some New Genera. <em>Proceedings of the Zoological Society of London.</em> 1867(2): 492-558, pls XXVII-XXVIII.	1867	Animalia	Porifera	Demospongiae	Spongillida	Spongillidae					Family	Gray, 1867	ICZN	accepted	2015-04-21	van Soest, R. (2015). Spongillidae Gray, 1867. In: Van Soest, R.W.M; Boury-Esnault, N.; Hooper, J.N.A.; Rützler, K.; de Voogd, N.J.; Alvarez de Glasby, B.; Hajdu, E.; Pisera, A.B.; Manconi, R.; Schoenberg, C.; Janussen, D.; Tabachnick, K.R., Klautau, M.; Picton, B.; Kelly, M.; Vacelet, J.; Dohrmann, M.; Díaz, M.-C.; Cárdenas, P. (2015) World Porifera database. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=167108	http://www.marinespecies.org/porifera/aphia.php?p=taxdetails&id=167108			
167109	urn:lsid:marinespecies.org:taxname:167109	167109	167108		Anheteromeyenia	Anheteromeyenia	Spongillidae	Schröder, K. 1927. Über die Gattungen <i>Carterius</i> Petr, <i>Astromeyenia</i> Annandale und <i>Heteromeyenia</i> Potts (Porifera: Spongillidae).Spongilliden-Studien III. Zoologischer Anzeiger 73(5-8): 101-112.	1927	Animalia	Porifera	Demospongiae	Spongillida	Spongillidae	Anheteromeyenia				Genus	Schröder, 1927	ICZN	accepted	2010-03-22	van Soest, R. (2015). Anheteromeyenia Schröder, 1927. In: Van Soest, R.W.M; Boury-Esnault, N.; Hooper, J.N.A.; Rützler, K.; de Voogd, N.J.; Alvarez de Glasby, B.; Hajdu, E.; Pisera, A.B.; Manconi, R.; Schoenberg, C.; Janussen, D.; Tabachnick, K.R., Klautau, M.; Picton, B.; Kelly, M.; Vacelet, J.; Dohrmann, M.; Díaz, M.-C.; Cárdenas, P. (2015) World Porifera database. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=167109	http://www.marinespecies.org/porifera/aphia.php?p=taxdetails&id=167109			
167110	urn:lsid:marinespecies.org:taxname:167110	167110	167109		Anheteromeyenia argyrosperma	Anheteromeyenia argyrosperma	Anheteromeyenia	Potts, E. 1880b. On freshwater sponges. Proceedings of the Academy of Natural Sciences of Philadelphia 1880: 356-357.	1880	Animalia	Porifera	Demospongiae	Spongillida	Spongillidae	Anheteromeyenia		argyrosperma		Species	(Potts, 1880)	ICZN	accepted	2010-03-22	van Soest, R. (2015). Anheteromeyenia argyrosperma (Potts, 1880). In: Van Soest, R.W.M; Boury-Esnault, N.; Hooper, J.N.A.; Rützler, K.; de Voogd, N.J.; Alvarez de Glasby, B.; Hajdu, E.; Pisera, A.B.; Manconi, R.; Schoenberg, C.; Janussen, D.; Tabachnick, K.R., Klautau, M.; Picton, B.; Kelly, M.; Vacelet, J.; Dohrmann, M.; Díaz, M.-C.; Cárdenas, P. (2015) World Porifera database. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php/aphia.php?p=taxdetails&id=167110	http://www.marinespecies.org/porifera/aphia.php?p=taxdetails&id=167110			
167112	urn:lsid:marinespecies.org:taxname:167112	167112	167109		Anheteromeyenia ornata	Anheteromeyenia ornata	Anheteromeyenia	Bonetto, A.A.; Ezcurra De Drago, I.D. (1970). Esponjas de losafluentes del alto Parana en la provincia de Misiones. <em>Acta Zoologica Lilloana.</em> 27: 37-61.	1970ab	Animalia	Porifera	Demospongiae	Spongillida	Spongillidae	Anheteromeyenia		ornata		Species	(Bonetto & Ezcurra de Drago, 1970)	ICZN	accepted	2010-06-16	van Soest, R.; Manconi, R. (2015). Anheteromeyenia ornata (Bonetto & Ezcurra de Drago, 1970). In: Van Soest, R.W.M; Boury-Esnault, N.; Hooper, J.N.A.; Rützler, K.; de Voogd, N.J.; Alvarez de Glasby, B.; Hajdu, E.; Pisera, A.B.; Manconi, R.; Schoenberg, C.; Janussen, D.; Tabachnick, K.R., Klautau, M.; Picton, B.; Kelly, M.; Vacelet, J.; Dohrmann, M.; Díaz, M.-C.; Cárdenas, P. (2015) World Porifera database. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=167112	http://www.marinespecies.org/porifera/aphia.php?p=taxdetails&id=167112			
167114	urn:lsid:marinespecies.org:taxname:167114	167114	167108		Corvoheteromeyenia	Corvoheteromeyenia	Spongillidae	Ezcurra De Drago, I. (1979). Un nuevo genero sudamericano de esponjas: Corvoheteromeyenia gen. nov. (Porifera Spongillidae). <em>Neotropica. Notas Zoologicas Sudamericanas.</em> 25(74): 109-118.	1979	Animalia	Porifera	Demospongiae	Spongillida	Spongillidae	Corvoheteromeyenia				Genus	Ezcurra de Drago, 1979	ICZN	accepted	2010-04-10	van Soest, R. (2015). Corvoheteromeyenia Ezcurra de Drago, 1979. In: Van Soest, R.W.M; Boury-Esnault, N.; Hooper, J.N.A.; Rützler, K.; de Voogd, N.J.; Alvarez de Glasby, B.; Hajdu, E.; Pisera, A.B.; Manconi, R.; Schoenberg, C.; Janussen, D.; Tabachnick, K.R., Klautau, M.; Picton, B.; Kelly, M.; Vacelet, J.; Dohrmann, M.; Díaz, M.-C.; Cárdenas, P. (2015) World Porifera database. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=167114	http://www.marinespecies.org/porifera/aphia.php?p=taxdetails&id=167114			
167115	urn:lsid:marinespecies.org:taxname:167115	167115	167114		Corvoheteromeyenia australis	Corvoheteromeyenia australis	Corvoheteromeyenia	Bonetto, A.A.; Ezcurra De Drago, I.D. (1966). Nuevos aportes alconocimiento de las esponjas argentinas. <em>Physis.</em> 26(71): 129-140.	1966	Animalia	Porifera	Demospongiae	Spongillida	Spongillidae	Corvoheteromeyenia		australis		Species	(Bonetto & Ezcurra de Drago, 1966)	ICZN	accepted	2010-04-10	van Soest, R. (2015). Corvoheteromeyenia australis (Bonetto & Ezcurra de Drago, 1966). In: Van Soest, R.W.M; Boury-Esnault, N.; Hooper, J.N.A.; Rützler, K.; de Voogd, N.J.; Alvarez de Glasby, B.; Hajdu, E.; Pisera, A.B.; Manconi, R.; Schoenberg, C.; Janussen, D.; Tabachnick, K.R., Klautau, M.; Picton, B.; Kelly, M.; Vacelet, J.; Dohrmann, M.; Díaz, M.-C.; Cárdenas, P. (2015) World Porifera database. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=167115	http://www.marinespecies.org/porifera/aphia.php?p=taxdetails&id=167115			
167116	urn:lsid:marinespecies.org:taxname:167116	167116	167114		Corvoheteromeyenia heterosclera	Corvoheteromeyenia heterosclera	Corvoheteromeyenia	Ezcurra De Drago, I. 1974. Las especies sudamericanas de <i>Corvomeyenia</i> Weltner (Porifera, Spongillidae). Physis (sér. B) 33(87):233-240.	1974	Animalia	Porifera	Demospongiae	Spongillida	Spongillidae	Corvoheteromeyenia		heterosclera		Species	(Ezcurra de Drago, 1974)	ICZN	accepted	2010-04-10	van Soest, R. (2015). Corvoheteromeyenia heterosclera (Ezcurra de Drago, 1974). In: Van Soest, R.W.M; Boury-Esnault, N.; Hooper, J.N.A.; Rützler, K.; de Voogd, N.J.; Alvarez de Glasby, B.; Hajdu, E.; Pisera, A.B.; Manconi, R.; Schoenberg, C.; Janussen, D.; Tabachnick, K.R., Klautau, M.; Picton, B.; Kelly, M.; Vacelet, J.; Dohrmann, M.; Díaz, M.-C.; Cárdenas, P. (2015) World Porifera database. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=167116	http://www.marinespecies.org/porifera/aphia.php?p=taxdetails&id=167116			
167117	urn:lsid:marinespecies.org:taxname:167117	167117	167108		Corvospongilla	Corvospongilla	Spongillidae	Annandale, N. 1911b. Freshwater Sponges, Hydroids and Polyzoa. Porifera. Pp. 27-126, 241-245, pls I-II. <i>In</i>: Shipley, A.E. (Ed.), Fauna of British India, including Ceylon and Burma. (Taylor and Francis: London): i-viii, 1-251.	1911	Animalia	Porifera	Demospongiae	Spongillida	Spongillidae	Corvospongilla				Genus	Annandale, 1911	ICZN	accepted	2010-06-18	van Soest, R.; Manconi, R. (2015). Corvospongilla Annandale, 1911. In: Van Soest, R.W.M; Boury-Esnault, N.; Hooper, J.N.A.; Rützler, K.; de Voogd, N.J.; Alvarez de Glasby, B.; Hajdu, E.; Pisera, A.B.; Manconi, R.; Schoenberg, C.; Janussen, D.; Tabachnick, K.R., Klautau, M.; Picton, B.; Kelly, M.; Vacelet, J.; Dohrmann, M.; Díaz, M.-C.; Cárdenas, P. (2015) World Porifera database. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=167117	http://www.marinespecies.org/porifera/aphia.php?p=taxdetails&id=167117			
167118	urn:lsid:marinespecies.org:taxname:167118	167118	167117		Corvospongilla boehmi	Corvospongilla boehmi	Corvospongilla	Hilgendorf, F. 1883a. Süsswasserschwämme aus Centralafrika, gesammeltvon Dr R. Böhm im Ugalla-Fluss beim Tanganyika-See. Sitzungs-Berichte der Gesellschaft für Naturforschenden Freunde Berlin: 87-90.	1883	Animalia	Porifera	Demospongiae	Spongillida	Spongillidae	Corvospongilla		boehmi		Species	(Hilgendorf, 1883)	ICZN	accepted	2008-08-08	Manconi, R. (2015). Corvospongilla boehmi (Hilgendorf, 1883). In: Van Soest, R.W.M; Boury-Esnault, N.; Hooper, J.N.A.; Rützler, K.; de Voogd, N.J.; Alvarez de Glasby, B.; Hajdu, E.; Pisera, A.B.; Manconi, R.; Schoenberg, C.; Janussen, D.; Tabachnick, K.R., Klautau, M.; Picton, B.; Kelly, M.; Vacelet, J.; Dohrmann, M.; Díaz, M.-C.; Cárdenas, P. (2015) World Porifera database. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=167118	http://www.marinespecies.org/porifera/aphia.php?p=taxdetails&id=167118			
167119	urn:lsid:marinespecies.org:taxname:167119	167119	167117		Corvospongilla burmanica	Corvospongilla burmanica	Corvospongilla	Kirkpatrick, R. 1908b. Description of a new variety of <i>Spongillaloricata</i>,Weltner. Records of the Indian Museum 2(1): 97-99, pl. IX.	1908	Animalia	Porifera	Demospongiae	Spongillida	Spongillidae	Corvospongilla		burmanica		Species	(Kirkpatrick, 1908)	ICZN	accepted	2010-04-11	van Soest, R. (2015). Corvospongilla burmanica (Kirkpatrick, 1908). In: Van Soest, R.W.M; Boury-Esnault, N.; Hooper, J.N.A.; Rützler, K.; de Voogd, N.J.; Alvarez de Glasby, B.; Hajdu, E.; Pisera, A.B.; Manconi, R.; Schoenberg, C.; Janussen, D.; Tabachnick, K.R., Klautau, M.; Picton, B.; Kelly, M.; Vacelet, J.; Dohrmann, M.; Díaz, M.-C.; Cárdenas, P. (2015) World Porifera database. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=167119	http://www.marinespecies.org/porifera/aphia.php?p=taxdetails&id=167119			
167120	urn:lsid:marinespecies.org:taxname:167120	167120	167117		Corvospongilla caunteri	Corvospongilla caunteri	Corvospongilla	Annandale, N. 1911b. Freshwater Sponges, Hydroids and Polyzoa. Porifera. Pp. 27-126, 241-245, pls I-II. <i>In</i>: Shipley, A.E. (Ed.), Fauna of British India, including Ceylon and Burma. (Taylor and Francis: London): i-viii, 1-251.	1911	Animalia	Porifera	Demospongiae	Spongillida	Spongillidae	Corvospongilla		caunteri		Species	Annandale, 1911	ICZN	accepted	2010-04-11	van Soest, R. (2015). Corvospongilla caunteri Annandale, 1911. In: Van Soest, R.W.M; Boury-Esnault, N.; Hooper, J.N.A.; Rützler, K.; de Voogd, N.J.; Alvarez de Glasby, B.; Hajdu, E.; Pisera, A.B.; Manconi, R.; Schoenberg, C.; Janussen, D.; Tabachnick, K.R., Klautau, M.; Picton, B.; Kelly, M.; Vacelet, J.; Dohrmann, M.; Díaz, M.-C.; Cárdenas, P. (2015) World Porifera database. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=167120	http://www.marinespecies.org/porifera/aphia.php?p=taxdetails&id=167120			
