taxonID	identifier	bibliographicCitation	title	creator	date	description	type
134961		O'Reilly, M. (2001). Rotifera, <B><I>in</I></B>: Costello, M.J. <i>et al.</i> (Ed.) (2001). <i>European register of marine species: a check-list of the marine species in Europe and a bibliography of guides to their identification. Collection Patrimoines Naturels,</i> 50: pp. 149-151	Rotifera, <B><I>in</I></B>: Costello, M.J. <i>et al.</i> (Ed.) (2001). <i>European register of marine species: a check-list of the marine species in Europe and a bibliography of guides to their identification. Collection Patrimoines Naturels,</i> 50:	O'Reilly, M.	2001		basis of record
134961		Segers, H. 2007. Annotated checklist of the rotifers (Phylum Rotifera), with notes on nomenclature, taxonomy and distribution. (Zootaxa 1564). 104 pp.	Annotated checklist of the rotifers (Phylum Rotifera), with notes on nomenclature, taxonomy and distribution. (Zootaxa 1564). 104 pp.	Segers, H.	2007		additional source
134963		Segers, H. 2007. Annotated checklist of the rotifers (Phylum Rotifera), with notes on nomenclature, taxonomy and distribution. (Zootaxa 1564). 104 pp.	Annotated checklist of the rotifers (Phylum Rotifera), with notes on nomenclature, taxonomy and distribution. (Zootaxa 1564). 104 pp.	Segers, H.	2007		additional source
134963		O'Reilly, M. (2001). Rotifera, <B><I>in</I></B>: Costello, M.J. <i>et al.</i> (Ed.) (2001). <i>European register of marine species: a check-list of the marine species in Europe and a bibliography of guides to their identification. Collection Patrimoines Naturels,</i> 50: pp. 149-151	Rotifera, <B><I>in</I></B>: Costello, M.J. <i>et al.</i> (Ed.) (2001). <i>European register of marine species: a check-list of the marine species in Europe and a bibliography of guides to their identification. Collection Patrimoines Naturels,</i> 50:	O'Reilly, M.	2001		basis of record
134964		O'Reilly, M. (2001). Rotifera, <B><I>in</I></B>: Costello, M.J. <i>et al.</i> (Ed.) (2001). <i>European register of marine species: a check-list of the marine species in Europe and a bibliography of guides to their identification. Collection Patrimoines Naturels,</i> 50: pp. 149-151	Rotifera, <B><I>in</I></B>: Costello, M.J. <i>et al.</i> (Ed.) (2001). <i>European register of marine species: a check-list of the marine species in Europe and a bibliography of guides to their identification. Collection Patrimoines Naturels,</i> 50:	O'Reilly, M.	2001		basis of record
134964		Segers, H. 2007. Annotated checklist of the rotifers (Phylum Rotifera), with notes on nomenclature, taxonomy and distribution. (Zootaxa 1564). 104 pp.	Annotated checklist of the rotifers (Phylum Rotifera), with notes on nomenclature, taxonomy and distribution. (Zootaxa 1564). 104 pp.	Segers, H.	2007		additional source
134965		Segers, H. 2007. Annotated checklist of the rotifers (Phylum Rotifera), with notes on nomenclature, taxonomy and distribution. (Zootaxa 1564). 104 pp.	Annotated checklist of the rotifers (Phylum Rotifera), with notes on nomenclature, taxonomy and distribution. (Zootaxa 1564). 104 pp.	Segers, H.	2007		additional source
134965		O'Reilly, M. (2001). Rotifera, <B><I>in</I></B>: Costello, M.J. <i>et al.</i> (Ed.) (2001). <i>European register of marine species: a check-list of the marine species in Europe and a bibliography of guides to their identification. Collection Patrimoines Naturels,</i> 50: pp. 149-151	Rotifera, <B><I>in</I></B>: Costello, M.J. <i>et al.</i> (Ed.) (2001). <i>European register of marine species: a check-list of the marine species in Europe and a bibliography of guides to their identification. Collection Patrimoines Naturels,</i> 50:	O'Reilly, M.	2001		basis of record
134966		O'Reilly, M. (2001). Rotifera, <B><I>in</I></B>: Costello, M.J. <i>et al.</i> (Ed.) (2001). <i>European register of marine species: a check-list of the marine species in Europe and a bibliography of guides to their identification. Collection Patrimoines Naturels,</i> 50: pp. 149-151	Rotifera, <B><I>in</I></B>: Costello, M.J. <i>et al.</i> (Ed.) (2001). <i>European register of marine species: a check-list of the marine species in Europe and a bibliography of guides to their identification. Collection Patrimoines Naturels,</i> 50:	O'Reilly, M.	2001		basis of record
134966		Segers, H. 2007. Annotated checklist of the rotifers (Phylum Rotifera), with notes on nomenclature, taxonomy and distribution. (Zootaxa 1564). 104 pp.	Annotated checklist of the rotifers (Phylum Rotifera), with notes on nomenclature, taxonomy and distribution. (Zootaxa 1564). 104 pp.	Segers, H.	2007		additional source
