taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	namePublishedInID	scientificName	acceptedNameUsage	parentNameUsage	namePublishedIn	namePublishedInYear	kingdom	phylum	class	order	family	genus	subgenus	specificEpithet	infraspecificEpithet	taxonRank	scientificNameAuthorship	nomenclaturalCode	taxonomicStatus	modified	bibliographicCitation	references	rights	rightsHolder	datasetName
134961	urn:lsid:marinespecies.org:taxname:134961	134961	134927		Rotaria citrina	Rotaria citrina	Rotaria			Animalia	Rotifera	Eurotatoria		Philodinidae	Rotaria		citrina		Species	(Ehrenberg, 1838)	ICZN	accepted	2008-10-28	Segers, H. (2008). Rotaria citrina (Ehrenberg, 1838). In: Segers, H. (Ed.) (2016). World Rotifera database from FADA. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=134961	aphia.php?p=taxdetails&id=134961			
134963	urn:lsid:marinespecies.org:taxname:134963	134963	134929		Collotheca mutabilis	Collotheca mutabilis	Collotheca			Animalia	Rotifera	Eurotatoria	Collothecaceae	Collothecidae	Collotheca		mutabilis		Species	(Hudson, 1885)	ICZN	accepted	2008-10-28	Segers, H. (2008). Collotheca mutabilis (Hudson, 1885). In: Segers, H. (Ed.) (2016). World Rotifera database from FADA. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=134963	aphia.php?p=taxdetails&id=134963			
134964	urn:lsid:marinespecies.org:taxname:134964	134964	134929		Collotheca pelagica	Collotheca pelagica	Collotheca			Animalia	Rotifera	Eurotatoria	Collothecaceae	Collothecidae	Collotheca		pelagica		Species	(Rousselet, 1893)	ICZN	accepted	2008-10-28	Segers, H. (2008). Collotheca pelagica (Rousselet, 1893). In: Segers, H. (Ed.) (2016). World Rotifera database from FADA. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=134964	aphia.php?p=taxdetails&id=134964			
134965	urn:lsid:marinespecies.org:taxname:134965	134965	134930		Conochilus hippocrepis	Conochilus hippocrepis	Conochilus			Animalia	Rotifera	Eurotatoria	Flosculariaceae	Conochilidae	Conochilus		hippocrepis		Species	(Schrank, 1803)	ICZN	accepted	2008-10-28	Segers, H. (2008). Conochilus hippocrepis (Schrank, 1803). In: Segers, H. (Ed.) (2016). World Rotifera database from FADA. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=134965	aphia.php?p=taxdetails&id=134965			
134966	urn:lsid:marinespecies.org:taxname:134966	134966	134930		Conochilus unicornis	Conochilus unicornis	Conochilus			Animalia	Rotifera	Eurotatoria	Flosculariaceae	Conochilidae	Conochilus		unicornis		Species	Rousselet, 1892	ICZN	accepted	2008-10-28	Segers, H. (2008). Conochilus unicornis Rousselet, 1892. In: Segers, H. (Ed.) (2016). World Rotifera database from FADA. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=134966	aphia.php?p=taxdetails&id=134966			
134967	urn:lsid:marinespecies.org:taxname:134967	134967	134931		Filinia brachiata	Filinia brachiata	Filinia			Animalia	Rotifera	Eurotatoria	Flosculariaceae	Trochosphaeridae	Filinia		brachiata		Species	(Rousselet, 1901)	ICZN	accepted	2008-10-28	Segers, H. (2008). Filinia brachiata (Rousselet, 1901). In: Segers, H. (Ed.) (2016). World Rotifera database from FADA. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=134967	aphia.php?p=taxdetails&id=134967			
134968	urn:lsid:marinespecies.org:taxname:134968	134968	134931		Filinia cornuta	Filinia cornuta	Filinia			Animalia	Rotifera	Eurotatoria	Flosculariaceae	Trochosphaeridae	Filinia		cornuta		Species	(Weisse, 1847)	ICZN	accepted	2008-10-28	Segers, H. (2008). Filinia cornuta (Weisse, 1847). In: Segers, H. (Ed.) (2016). World Rotifera database from FADA. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=134968	aphia.php?p=taxdetails&id=134968			
134969	urn:lsid:marinespecies.org:taxname:134969	134969	134931		Filinia longiseta	Filinia longiseta	Filinia			Animalia	Rotifera	Eurotatoria	Flosculariaceae	Trochosphaeridae	Filinia		longiseta		Species	(Ehrenberg, 1834)	ICZN	accepted	2008-10-28	Segers, H. (2008). Filinia longiseta (Ehrenberg, 1834). In: Segers, H. (Ed.) (2016). World Rotifera database from FADA. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=134969	aphia.php?p=taxdetails&id=134969			
134970	urn:lsid:marinespecies.org:taxname:134970	134970	134931		Filinia terminalis	Filinia terminalis	Filinia			Animalia	Rotifera	Eurotatoria	Flosculariaceae	Trochosphaeridae	Filinia		terminalis		Species	(Plate, 1886)	ICZN	accepted	2008-10-28	Segers, H. (2008). Filinia terminalis (Plate, 1886). In: Segers, H. (Ed.) (2016). World Rotifera database from FADA. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=134970	aphia.php?p=taxdetails&id=134970			
134973	urn:lsid:marinespecies.org:taxname:134973	134973	134933		Pompholyx sulcata	Pompholyx sulcata	Pompholyx			Animalia	Rotifera	Eurotatoria	Flosculariaceae	Testudinellidae	Pompholyx		sulcata		Species	Hudson, 1885	ICZN	accepted	2008-10-28	Segers, H. (2008). Pompholyx sulcata Hudson, 1885. In: Segers, H. (Ed.) (2016). World Rotifera database from FADA. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=134973	aphia.php?p=taxdetails&id=134973			
134975	urn:lsid:marinespecies.org:taxname:134975	134975	134934		Testudinella patina	Testudinella patina	Testudinella			Animalia	Rotifera	Eurotatoria	Flosculariaceae	Testudinellidae	Testudinella		patina		Species	(Hermann, 1783)	ICZN	accepted	2008-10-28	Segers, H. (2008). Testudinella patina (Hermann, 1783). In: Segers, H. (Ed.) (2016). World Rotifera database from FADA. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=134975	aphia.php?p=taxdetails&id=134975			
134976	urn:lsid:marinespecies.org:taxname:134976	134976	134935		Asplanchna brightwellii	Asplanchna brightwellii	Asplanchna			Animalia	Rotifera	Eurotatoria	Ploima	Asplanchnidae	Asplanchna		brightwellii		Species	Gosse, 1850	ICZN	accepted	2008-10-28	Segers, H. (2008). Asplanchna brightwellii Gosse, 1850. In: Segers, H. (Ed.) (2016). World Rotifera database from FADA. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=134976	aphia.php?p=taxdetails&id=134976			
134977	urn:lsid:marinespecies.org:taxname:134977	134977	134935		Asplanchna priodonta	Asplanchna priodonta	Asplanchna			Animalia	Rotifera	Eurotatoria	Ploima	Asplanchnidae	Asplanchna		priodonta		Species	Gosse, 1850	ICZN	accepted	2008-10-28	Segers, H. (2008). Asplanchna priodonta Gosse, 1850. In: Segers, H. (Ed.) (2016). World Rotifera database from FADA. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=134977	aphia.php?p=taxdetails&id=134977			
134979	urn:lsid:marinespecies.org:taxname:134979	134979	134937		Brachionus angularis	Brachionus angularis	Brachionus			Animalia	Rotifera	Eurotatoria	Ploima	Brachionidae	Brachionus		angularis		Species	Gosse, 1851	ICZN	accepted	2008-10-28	Segers, H. (2008). Brachionus angularis Gosse, 1851. In: Segers, H. (Ed.) (2016). World Rotifera database from FADA. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=134979	aphia.php?p=taxdetails&id=134979			
134980	urn:lsid:marinespecies.org:taxname:134980	134980	134937		Brachionus calyciflorus	Brachionus calyciflorus	Brachionus			Animalia	Rotifera	Eurotatoria	Ploima	Brachionidae	Brachionus		calyciflorus		Species	Pallas, 1766	ICZN	accepted	2008-10-28	Segers, H. (2008). Brachionus calyciflorus Pallas, 1766. In: Segers, H. (Ed.) (2016). World Rotifera database from FADA. Accessed through:  World Register of Marine Species at http://marinespecies.org/aphia.php?p=taxdetails&id=134980	aphia.php?p=taxdetails&id=134980			
134981	urn:lsid:marinespecies.org:taxname:134981	134981	134937		Brachionus leydigii	Brachionus leydigii	Brachionus			Animalia	Rotifera	Eurotatoria	Ploima	Brachionidae	Brachionus		leydigii		Species	Cohn, 1862	ICZN	accepted	2008-10-28	Segers, H. (2008). Brachionus leydigii Cohn, 1862. In: Segers, H. (Ed.) (2016). World Rotifera database from FADA. Accessed through:  World Register of Marine Species at http://marinespecies.org/aphia.php?p=taxdetails&id=134981	aphia.php?p=taxdetails&id=134981			
134983	urn:lsid:marinespecies.org:taxname:134983	134983	134937		Brachionus quadridentatus	Brachionus quadridentatus	Brachionus			Animalia	Rotifera	Eurotatoria	Ploima	Brachionidae	Brachionus		quadridentatus		Species	Hermann, 1783	ICZN	accepted	2008-10-28	Segers, H. (2008). Brachionus quadridentatus Hermann, 1783. In: Segers, H. (Ed.) (2016). World Rotifera database from FADA. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=134983	aphia.php?p=taxdetails&id=134983			
134984	urn:lsid:marinespecies.org:taxname:134984	134984	134937		Brachionus rubens	Brachionus rubens	Brachionus			Animalia	Rotifera	Eurotatoria	Ploima	Brachionidae	Brachionus		rubens		Species	Ehrenberg, 1838	ICZN	accepted	2008-10-28	Segers, H. (2008). Brachionus rubens Ehrenberg, 1838. In: Segers, H. (Ed.) (2016). World Rotifera database from FADA. Accessed through:  World Register of Marine Species at http://marinespecies.org/aphia.php?p=taxdetails&id=134984	aphia.php?p=taxdetails&id=134984			
134985	urn:lsid:marinespecies.org:taxname:134985	134985	134937		Brachionus urceolaris	Brachionus urceolaris	Brachionus			Animalia	Rotifera	Eurotatoria	Ploima	Brachionidae	Brachionus		urceolaris		Species	Müller, 1773	ICZN	accepted	2008-10-28	Segers, H. (2008). Brachionus urceolaris Müller, 1773. In: Segers, H. (Ed.) (2016). World Rotifera database from FADA. Accessed through:  World Register of Marine Species at http://marinespecies.org/aphia.php?p=taxdetails&id=134985	aphia.php?p=taxdetails&id=134985			
134986	urn:lsid:marinespecies.org:taxname:134986	134986	134938		Colurella colurus	Colurella colurus	Colurella			Animalia	Rotifera	Eurotatoria	Ploima	Lepadellidae	Colurella		colurus		Species	(Ehrenberg, 1830)	ICZN	accepted	2010-04-01	Segers, H. (2010). Colurella colurus (Ehrenberg, 1830). In: Segers, H. (Ed.) (2016). World Rotifera database from FADA. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=134986	aphia.php?p=taxdetails&id=134986			
